news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.zacks.com/commentary/1992469/can-bank-stocks-maintain-the-recent-momentum,https://cdn.snapi.dev/images/v1/k/s/d/bank27-1583933.jpg,Can Bank Stocks Maintain the Recent Momentum?,"The market liked what it saw in the quarterly releases from JPMorgan (JPM), Citigroup (C) and even Wells Fargo (WFC) on an otherwise down day for the indexes.",Zacks Investment Research,"Fri, 14 Oct 2022 20:19:06 -0400",[],Positive,Article,"['C', 'JPM', 'MS', 'WFC']"
https://www.cnbc.com/2022/10/14/jim-cramer-recaps-4-major-banks-earnings-reports.html,https://cdn.snapi.dev/images/v1/q/w/3/bank22-1583904.jpg,Jim Cramer recaps 4 major banks' earnings reports,"JPMorgan Chase, Morgan Stanley, Wells Fargo and Citigroup reported their latest quarterly results this week.",CNBC,"Fri, 14 Oct 2022 18:46:12 -0400","['earnings', 'cramer']",Neutral,Article,"['C', 'JPM', 'MS', 'WFC']"
https://seekingalpha.com/article/4546665-jpmorgan-chase-fortress-balance-sheet-share-repurchases,https://cdn.snapi.dev/images/v1/o/q/l/bank17-1583842.jpg,This Isn't 2008: JPMorgan Chase Offers Fortress Balance Sheet With Share Repurchases Ahead,"JPM reported strong earnings results boosted by rising interest rates. While the market continues to fear economic ramifications from inflation and high interest rates, such weakness has not yet been shown in the fundamentals.",Seeking Alpha,"Fri, 14 Oct 2022 17:36:38 -0400",['paylimitwall'],Positive,Article,['JPM']
https://invezz.com/news/2022/10/14/buy-jpmorgan-stock-after-q3-report/?utm_source=snapi,https://cdn.snapi.dev/images/v1/c/h/s/bank14-1583821.jpg,JPMorgan Q3 report: ‘it has a better position in the capital markets',"JPMorgan Chase & Co (NYSE: JPM) ended in the green on Friday after reporting market-beating results for its fiscal third quarter. Expert reacts to JPMorgan's Q3 results Discussing the earnings report on CNBC's “Power Lunch”, Doug Butler – Senior Vice President at Rockland Trust picked the JPMorgan stock over its rival.",Invezz,"Fri, 14 Oct 2022 17:11:04 -0400",['earnings'],Positive,Article,['JPM']
https://www.youtube.com/watch?v=81ri_W9dUZk,https://cdn.snapi.dev/images/v1/5/x/v/bank28-1583813.jpg,"Bank earnings show ‘rates do matter,' analyst says","CFRA Research Director of Research Kenneth Leon joins Yahoo Finance Live to discuss bank earnings, consumer spending, a 2023 recession, and the outlook for rate hikes.",Yahoo Finance,"Fri, 14 Oct 2022 16:56:06 -0400",['earnings'],Positive,Video,"['JPM', 'MS', 'WFC']"
https://www.youtube.com/watch?v=JNAQCf76BGw,https://cdn.snapi.dev/images/v1/c/t/r/bank16-1583629.jpg,"JPMorgan is better positioned in the capital markets than its competitors, says Doug Butler","Doug Butler, Rockland Trust portfolio manager, joins 'Power Lunch' to discuss bank earnings, finding opportunities in organizations benefiting from the Inflation Reduction Act, and more.",CNBC Television,"Fri, 14 Oct 2022 14:56:38 -0400",['earnings'],Positive,Video,['JPM']
https://www.fool.com/investing/2022/10/14/can-big-banks-end-the-bear-market/,https://cdn.snapi.dev/images/v1/v/x/2/bank31-1583550.jpg,Can Big Banks End the Bear Market?,"JPMorgan and Wells Fargo saw their share prices rise after announcing their earnings, but it didn't help stocks overall.",The Motley Fool,"Fri, 14 Oct 2022 13:37:00 -0400",[],Positive,Article,"['JPM', 'WFC']"
https://seekingalpha.com/article/4546621-jpmorgan-chase-fed-hikes-keep-powering-the-net-interest-number,https://cdn.snapi.dev/images/v1/8/n/w/bank22-1583489.jpg,JPMorgan Chase: Fed Hikes Keep Powering The Net Interest Number,"We had a neutral opinion when we covered JP Morgan the last time around. The stock is about 10% lower, though it has outperformed the S&P 500.",Seeking Alpha,"Fri, 14 Oct 2022 13:14:12 -0400","['paylimitwall', 'earnings']",Positive,Article,['JPM']
https://www.fool.com/investing/2022/10/14/why-shares-of-jpmorgan-chase-are-rising-today/,https://cdn.snapi.dev/images/v1/y/c/u/bank20-1583480.jpg,Why Shares of JPMorgan Chase Are Rising Today,The bank reported its third-quarter earnings results.,The Motley Fool,"Fri, 14 Oct 2022 13:05:30 -0400",['earnings'],Positive,Article,['JPM']
https://www.zacks.com/stock/news/1992213/earnings-season-commences-with-large-banks,https://cdn.snapi.dev/images/v1/w/v/l/bank18-1583444.jpg,Earnings Season Commences With Large Banks,Earnings Season Commences With Large Banks.,Zacks Investment Research,"Fri, 14 Oct 2022 12:48:22 -0400",['earnings'],Neutral,Article,"['JPM', 'MS', 'WFC']"
