Date,sentiment_mean,article_count
2021-10-18,0.2,5
2021-10-19,1.0,2
2021-10-20,1.0,6
2021-10-24,0.0,2
2021-10-25,0.0,1
2021-10-26,0.5,10
2021-10-27,1.0,4
2021-10-28,1.0,3
2021-10-29,1.0,2
2021-10-31,1.0,3
2021-11-01,1.0,2
2021-11-02,0.6666666666666666,3
2021-11-03,1.0,1
2021-11-04,1.0,1
2021-11-08,0.0,2
2021-11-11,0.7142857142857143,7
2021-11-15,-1.0,3
2021-11-16,1.0,2
2021-11-17,1.0,2
2021-11-18,1.0,4
2021-11-19,1.0,3
2021-11-21,1.0,1
2021-11-22,1.0,2
2021-11-23,0.5,2
2021-11-26,0.0,1
2021-12-02,-1.0,1
2021-12-03,-1.0,1
2021-12-05,-0.5,4
2021-12-08,0.0,2
2021-12-09,0.0,1
2021-12-12,0.5,2
2021-12-13,-1.0,1
2021-12-15,1.0,2
2021-12-16,1.0,1
2021-12-22,-0.5,2
2021-12-24,1.0,1
2022-01-02,1.0,1
2022-01-03,0.0,2
2022-01-05,0.5,2
2022-01-10,-1.0,2
2022-01-11,-0.5,2
2022-01-12,1.0,1
2022-01-13,0.5,2
2022-01-16,1.0,1
2022-01-18,0.6666666666666666,3
2022-01-20,1.0,2
2022-01-22,1.0,1
2022-01-24,1.0,1
2022-01-26,-1.0,1
2022-01-27,-1.0,1
2022-01-28,-1.0,1
2022-01-29,-1.0,2
2022-01-30,0.2631578947368421,19
2022-01-31,0.16666666666666666,6
2022-02-01,-0.5,2
2022-02-02,-0.6896551724137931,29
2022-02-03,-0.5,8
2022-02-04,-1.0,3
2022-02-05,-1.0,1
2022-02-06,-0.2727272727272727,22
2022-02-07,-0.07692307692307693,13
2022-02-08,-0.125,8
2022-02-09,-1.0,1
2022-02-10,-1.0,2
2022-02-11,1.0,2
2022-02-12,0.0,2
2022-02-13,0.0,2
2022-02-15,1.0,1
2022-02-16,0.5,8
2022-02-17,-0.4,10
2022-02-21,-1.0,1
2022-02-22,0.5,4
2022-02-24,1.0,1
2022-02-25,0.0,1
2022-03-02,-0.2,5
2022-03-03,1.0,1
2022-03-06,1.0,1
2022-03-07,-1.0,5
2022-03-08,0.6666666666666666,3
2022-03-09,0.0,2
2022-03-10,0.5,2
2022-03-15,1.0,1
2022-03-16,1.0,1
2022-03-17,1.0,1
2022-03-20,1.0,1
2022-03-21,1.0,1
2022-03-22,0.0,2
2022-03-23,0.9166666666666666,12
2022-03-24,-0.25,8
2022-03-25,-0.3333333333333333,3
2022-03-27,0.7142857142857143,7
2022-03-29,0.5,4
2022-03-31,0.5,2
2022-04-01,0.0,2
2022-04-02,1.0,1
2022-04-03,1.0,4
2022-04-04,0.0,1
2022-04-05,-1.0,1
2022-04-06,1.0,1
2022-04-07,0.0,2
2022-04-09,1.0,2
2022-04-10,0.0,2
2022-04-11,1.0,2
2022-04-18,0.5,2
2022-04-19,-1.0,1
2022-04-20,0.3333333333333333,6
2022-04-21,0.0,5
2022-04-24,0.5,2
2022-04-26,0.0,19
2022-04-27,0.3333333333333333,3
2022-04-28,0.0,2
2022-04-29,0.0,1
2022-04-30,-1.0,1
2022-05-02,0.0,5
2022-05-03,1.0,2
2022-05-04,1.0,1
2022-05-05,0.2,5
2022-05-08,0.0,1
2022-05-09,0.5,2
2022-05-11,1.0,1
2022-05-12,1.0,1
2022-05-18,0.0,1
2022-05-19,1.0,1
2022-05-20,1.0,1
2022-05-21,1.0,1
2022-05-22,-1.0,1
2022-05-25,1.0,1
2022-05-26,1.0,1
2022-06-01,1.0,1
2022-06-02,0.0,1
2022-06-05,1.0,3
2022-06-06,0.0,4
2022-06-07,0.2857142857142857,7
2022-06-08,0.7142857142857143,7
2022-06-09,0.0,1
2022-06-12,0.5,2
2022-06-13,0.2,5
2022-06-14,0.0,5
